Contract Name;Last Trade Date (EDT);Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open Interest;Implied Volatility
AMZN260918C00105000;06/04/2026;105;150.30;140.75;144.65;0.00;0.00%;1;69;96.66%
AMZN260918C00110000;06/05/2026;110;146.12;135.85;139.75;-0.10;-0.07%;5;34;93.04%
AMZN260918C00115000;06/04/2026;115;141.74;130.90;134.85;0.00;0.00%;23;49;89.28%
AMZN260918C00120000;06/04/2026;120;135.63;126.20;129.95;-0.48;-0.35%;1;224;86.80%
AMZN260918C00125000;06/04/2026;125;130.77;121.10;125.05;0.00;0.00%;21;212;82.52%
AMZN260918C00130000;06/04/2026;130;126.28;116.80;120.20;0.00;0.00%;9;135;81.87%
AMZN260918C00135000;06/04/2026;135;121.44;111.70;115.25;0.00;0.00%;11;146;77.58%
AMZN261016C00100000;06/04/2026;100;156.10;146.15;150.00;0.00;0.00%;25;49;94.06%
AMZN261016C00105000;06/04/2026;105;151.75;141.15;145.05;0.00;0.00%;5;12;89.72%
AMZN261016C00120000;06/05/2026;120;136.85;126.55;130.45;0.19;0.14%;2;40;80.40%
AMZN261016C00125000;06/04/2026;125;133.51;122.10;125.60;0.00;0.00%;8;56;78.89%
AMZN261016C00130000;06/04/2026;130;127.87;117.25;120.70;1.99;1.58%;2;62;75.82%
AMZN261016C00135000;06/04/2026;135;120.67;112.65;115.85;0.00;0.00%;2;41;73.68%
AMZN261016C00140000;06/04/2026;140;117.43;107.70;110.95;0.00;0.00%;7;61;70.40%
AMZN261120C00105000;06/04/2026;105;151.50;142.20;145.70;0.00;0.00%;6;15;86.21%
AMZN261120C00110000;06/04/2026;110;147.36;137.20;140.80;0.37;0.25%;2;25;82.41%
AMZN261120C00115000;06/04/2026;115;141.69;132.50;136.00;0.00;0.00%;22;32;80.02%
AMZN261120C00120000;06/04/2026;120;137.05;127.30;131.15;-0.66;-0.48%;2;51;76.01%
AMZN261120C00125000;06/04/2026;125;132.51;122.95;126.40;0.00;0.00%;11;76;74.80%
AMZN261120C00130000;06/04/2026;130;126.83;118.15;121.50;0.00;0.00%;8;82;71.92%
AMZN261120C00135000;06/04/2026;135;121.99;113.60;116.70;0.00;0.00%;6;79;69.94%
AMZN261218C00085000;06/04/2026;85;171.40;162.30;165.55;0.00;0.00%;3;1,441;97.09%
AMZN261218C00090000;05/08/2026;90;185.24;157.15;160.65;0.00;0.00%;1;773;92.16%
AMZN261218C00095000;4/22/2026 3:39 PM;95;163.00;151.85;155.80;0.00;0.00%;1;62;87.16%
AMZN261218C00100000;06/05/2026;100;149.88;147.65;151.00;-7.36;-4.68%;2;5,423;86.26%
AMZN261218C00105000;5/15/2026 10:43 AM;105;161.21;142.20;146.10;0.00;0.00%;1;251;81.05%
AMZN261218C00110000;06/01/2026;110;157.22;137.85;141.30;0.00;0.00%;17;313;79.65%
AMZN261218C00115000;06/05/2026;115;141.30;132.60;136.45;4.22;3.08%;1;55;75.57%
AMZN270115C00085000;06/04/2026;85;172.03;162.50;165.90;0.00;0.00%;1;635;92.75%
AMZN270115C00090000;5/26/2026 1:51 PM;90;175.20;157.65;161.05;0.00;0.00%;20;233;89.20%
AMZN270115C00095000;5/26/2026 10:40 AM;95;172.10;152.60;156.25;0.00;0.00%;3;174;85.34%
AMZN270115C00100000;06/04/2026;100;157.14;148.10;151.50;0.00;0.00%;1;1,489;83.40%
AMZN270115C00105000;06/03/2026;105;146.35;142.65;146.60;0.00;0.00%;10;366;78.48%
AMZN270115C00110000;06/02/2026;110;148.21;137.95;141.85;0.00;0.00%;1;315;76.16%
AMZN270115C00115000;5/28/2026 11:34 AM;115;158.30;133.80;137.05;0.00;0.00%;1;214;75.02%
AMZN270319C00105000;05/04/2026;105;171.11;144.15;147.70;0.00;0.00%;1;12;75.15%
AMZN270319C00110000;5/13/2026 9:34 AM;110;158.85;139.10;142.95;0.00;0.00%;1;4;72.01%
AMZN270319C00115000;5/13/2026 3:49 PM;115;160.15;134.50;138.35;0.00;0.00%;-;35;70.14%
AMZN270319C00120000;06/01/2026;120;149.00;129.65;133.55;0.00;0.00%;1;122;67.47%
AMZN270319C00125000;05/11/2026;125;150.25;125.75;128.85;0.00;0.00%;4;24;66.62%
AMZN270319C00130000;06/04/2026;130;129.20;121.15;124.20;0.45;0.35%;4;11;64.64%
AMZN270319C00135000;06/04/2026;135;124.15;116.50;119.60;0.00;0.00%;1;2;62.67%
AMZN270617C00085000;06/05/2026;85;175.00;164.00;167.95;-14.90;-7.85%;1;328;79.93%
AMZN270617C00090000;06/03/2026;90;169.72;159.00;163.50;0.00;0.00%;1;14;77.19%
AMZN270617C00095000;06/03/2026;95;163.30;154.00;159.00;0.00;0.00%;6;30;74.46%
AMZN270617C00100000;06/05/2026;100;154.80;151.00;153.95;0.40;0.26%;2;212;74.40%
AMZN270617C00105000;06/01/2026;105;163.75;145.55;149.30;0.00;0.00%;22;137;70.76%
AMZN270617C00110000;06/03/2026;110;148.40;140.80;144.70;0.00;0.00%;2;237;68.48%
AMZN270617C00115000;5/26/2026 2:13 PM;115;154.65;137.00;140.05;0.00;0.00%;4;133;67.58%
