Contract Name;Last Trade Date (EDT);Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open Interest;Implied Volatility
AMZN260918P00105000;06/04/2026;105;0.10;0.05;0.15;0.02;25.00%;2;2,101;63.28%
AMZN260918P00110000;06/04/2026;110;0.12;0.05;0.18;0.02;20.00%;1;718;60.94%
AMZN260918P00115000;06/04/2026;115;0.20;0.10;0.53;0.08;66.67%;4;233;65.82%
AMZN260918P00120000;06/04/2026;120;0.19;0.10;0.57;0.00;0.00%;37;268;62.99%
AMZN260918P00125000;06/04/2026;125;0.27;0.14;0.43;0.06;28.57%;2;454;58.35%
AMZN260918P00130000;06/05/2026;130;0.24;0.24;0.39;0.02;9.09%;11;5,846;56.10%
AMZN260918P00135000;06/04/2026;135;0.30;0.22;0.56;0.00;0.00%;15;905;54.79%
AMZN261016P00100000;06/04/2026;100;0.14;0.05;0.51;0.00;0.00%;1;130;67.14%
AMZN260918P00110000;06/04/2026;110;0.20;0.10;0.52;0.04;25.00%;1;134;64.65%
AMZN260918P00115000;06/04/2026;115;0.21;0.10;0.57;0.01;5.00%;1;213;62.06%
AMZN260918P00120000;06/04/2026;120;0.23;0.10;0.62;0.02;9.52%;2;97;59.57%
AMZN260918P00125000;06/04/2026;125;0.27;0.15;0.55;0.02;8.00%;2;414;56.25%
AMZN260918P00130000;06/04/2026;130;0.31;0.19;0.62;0.03;10.71%;1;215;54.54%
AMZN260918P00135000;06/04/2026;135;0.33;0.22;0.69;0.00;0.00%;1;120;52.61%
AMZN261120P00105000;06/04/2026;105;0.24;0.10;0.70;0.00;0.00%;8;224;59.62%
AMZN261120P00110000;06/04/2026;110;0.27;0.12;0.77;0.00;0.00%;19;321;57.52%
AMZN261120P00115000;06/04/2026;115;0.31;0.12;0.72;0.01;3.33%;4;136;54.15%
AMZN261120P00120000;06/04/2026;120;0.40;0.24;0.80;0.00;0.00%;13;467;53.13%
AMZN261120P00125000;06/04/2026;125;0.44;0.29;0.83;0.00;0.00%;10;208;51.00%
AMZN261120P00130000;06/04/2026;130;0.56;0.38;0.97;0.03;5.66%;1;138;53.19%
AMZN261120P00135000;06/04/2026;135;0.62;0.49;0.95;0.00;0.00%;6;164;50.22%
AMZN261218P00085000;06/05/2026;85;0.08;0.08;0.15;-0.05;-38.46%;16;1,782;57.81%
AMZN261218P00090000;06/01/2026;90;0.20;0.10;0.53;0.00;0.00%;4;770;62.26%
AMZN261218P00095000;06/02/2026;95;0.15;0.10;0.56;0.00;0.00%;5;844;59.52%
AMZN261218P00100000;06/05/2026;100;0.22;0.15;0.57;0.01;4.76%;10;5,201;57.23%
AMZN261218P00105000;06/04/2026;105;0.27;0.17;0.45;0.00;0.00%;10;2,212;53.22%
AMZN261218P00110000;06/05/2026;110;0.27;0.25;0.52;-0.11;-28.95%;10;5,298;52.10%
AMZN261218P00115000;06/05/2026;115;0.33;0.33;0.66;-0.04;-10.81%;17;1,533;51.39%
AMZN270115P00085000;06/04/2026;85;0.20;0.10;0.53;0.00;0.00%;4;2,71;61.33%
AMZN270115P00090000;5/29/2026 3:08 PM;90;0.25;0.10;0.69;0.00;0.00%;1;474;60.11%
AMZN270115P00095000;06/05/2026;95;0.22;0.10;0.50;0.01;4.76%;20;956;54.93%
AMZN270115P00100000;06/03/2026;100;0.27;0.20;0.45;0.00;0.00%;3;3,334;52.73%
AMZN270115P00105000;06/01/2026;105;0.28;0.17;0.84;0.00;0.00%;2;234;53.44%
AMZN270115P00110000;06/03/2026;110;0.35;0.33;0.64;0.00;0.00%;2;1,716;50.44%
AMZN270115P00115000;5/27/2026 11:47 AM;115;0.38;0.34;0.79;0.00;0.00%;32;725;51.88%
AMZN270319P00105000;06/04/2026;105;0.38;0.23;0.75;0.00;0.00%;50;204;50.29%
AMZN270319P00110000;5/26/2026 9:30 AM;110;0.65;0.50;1.08;0.18;38.30%;1;20;50.96%
AMZN270319P00115000;06/05/2026;115;0.75;0.43;1.23;0.05;7.14%;1;31;49.63%
AMZN270319P00120000;06/01/2026;120;0.77;0.56;1.37;0.00;0.00%;1;62;48.17%
AMZN270319P00125000;5/29/2026 10:32 AM;125;0.86;0.72;1.54;0.07;8.86%;1;25;46.86%
AMZN270319P00130000;06/04/2026;130;1.11;0.91;1.75;0.00;0.00%;2;37;45.72%
AMZN270319P00135000;06/03/2026;135;1.29;1.12;1.98;0.00;0.00%;2;177;44.58%
AMZN270617P00085000;06/04/2026;85;0.28;0.10;0.50;0.00;0.00%;60;662;50.46%
AMZN270617P00090000;05/05/2026;90;0.67;0.19;0.77;0.18;36.73%;3;176;51.32%
AMZN270617P00095000;5/27/2026 12:32 PM;95;0.52;0.20;1.01;0.00;0.00%;1;795;51.10%
AMZN270617P00100000;06/01/2026;100;0.63;0.32;1.26;0.00;0.00%;1;193;50.60%
AMZN270617P00105000;5/26/2026 10:03 AM;105;0.60;0.55;1.00;0.00;0.00%;2;151;46.11%
AMZN270617P00110000;06/02/2026;110;0.88;0.78;1.56;0.00;0.00%;15;495;47.71%
AMZN270617P00115000;06/01/2026;115;1.00;0.81;1.31;0.00;0.00%;6;209;43.82%
;;;;;;;;;;
